"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031690","GO:0031690","3/784","17/11936",0.0964942111623802,0.422490629148226,0.368690158741886,"PDE4D/MAGI2/ADRA2A",3
"GO:0004518","GO:0004518","7/784","60/11936",0.0969518299443577,0.422490629148226,0.368690158741886,"DNA2/RNASEH2A/EXO1/RNASE4/FEN1/ENPP1/AZGP1",7
"GO:0046873","GO:0046873","4/784","27/11936",0.0975374759658595,0.422490629148226,0.368690158741886,"AQP1/ITPR1/ATP2A3/ATP2B4",4
"GO:0050681","GO:0050681","4/784","27/11936",0.0975374759658595,0.422490629148226,0.368690158741886,"TCF21/PRKCB/TGFB1I1/ARID5A",4
"GO:0004674","GO:0004674","29/784","344/11936",0.0991052182632884,0.422490629148226,0.368690158741886,"PRKCB/AURKA/TGFBR2/MYLK/LRRK2/NEK2/TTK/CDC7/MELK/PLK1/CDK1/RPS6KA2/CIT/AURKB/PKMYT1/PLK4/CHEK1/SBK1/STK32B/PBK/MAP3K8/GRK5/IRAK3/MAPK15/TNIK/AKT3/PRKCZ/PRKAA2/HUNK",29
"GO:0005216","GO:0005216","9/784","84/11936",0.099113109820061,0.422490629148226,0.368690158741886,"P2RX1/GRIK3/ANXA6/KCNK3/GRIN2D/ABCC9/TRPM2/TRPC1/GRIK5",9
"GO:0022843","GO:0022843","10/784","97/11936",0.103642607711034,0.43724587702978,0.381566455417848,"KCNMA1/KCNH2/GRIN2D/KCND3/CACNB2/KCNG1/CACNB4/NCS1/CACNA2D1/CACNA1C",10
"GO:0032559","GO:0032559","26/784","306/11936",0.106157507685461,0.43724587702978,0.381566455417848,"PDK4/ATP1A2/PDE2A/PDE4B/KIF14/ACTC1/BLM/TRIP13/PLK1/RAD51/KIFC1/DARS2/PDE4D/HSPA2/SLC19A1/MTHFD1L/PIF1/BVES/POPDC2/ABCB1/ACTA1/PRKAG2/IRAK3/ABCA12/AKT3/ENPP1",26
"GO:0008028","GO:0008028","4/784","28/11936",0.108190904119708,0.43724587702978,0.381566455417848,"SLC26A6/SLC5A6/SLC16A4/SLC16A13",4
"GO:0070325","GO:0070325","4/784","28/11936",0.108190904119708,0.43724587702978,0.381566455417848,"RELN/CLU/APBB1/DKK1",4
"GO:0004675","GO:0004675","3/784","18/11936",0.110398064379288,0.43724587702978,0.381566455417848,"TGFBR2/TGFBR3/LTBP4",3
